"Dam Name","State","Downstream Hazard Potential","Incident Type","Incident Date","Incident Driver","Incident Mechanism 1","Incident Mechanism 2","Incident Mechanism 3","Incident ID","Incident Description","Named Hydrologic Event","EAP Enacted (Y/N) due to Incident","Fatalities (Number)","Number of People Evacuated","Number of Habitable Structures Evacuated","Number of Habitable Structures Flooded","Other Infrastructure Impacts","Economic Damages (in $)","Response","Volume released at failure (ac-ft)","Additional Remarks or Updates","Owner Type","Dam Type","Primary Purpose(s)","EAP","Dam Height","Max Storage (ac-ft)","Surface Area (acres)","Year Completed","NID Number","River Name","Latitude","Longitude","Year Modified","Regulatory Agency(ies)","Incident Time","Incident Duration","Incident Report Produced","Information Sources","Attachments"
"RAYMOND SEWAGE LAGOON DAM","MS","L","Failure","08/30/2022","Hydrologic/flooding","Animal Activity","Vegetation","Erosion","MS01762-3466","Erosion of backslope due to tailwater conditions and animal activity.  Breached area appeared to be a collapsed animal den.","","N","0","0","0","0","0","0","","36 ac-ft","","L","RE","O","NR","8 ft","96 ac-ft","0 acres","0","MS01762","","32.2595","-90.4113","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","N","MDEQ Dam Safety",""
"ABLE/COBETT POND DAM","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00370-2617","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","10 ft","58 ac-ft","11 acres","1955","SC00370","LITTLE HOLLOW CREEK","33.6217","-81.2333","0","SCDHEC","","","","SC DHEC Website",""
"ABNEY LAKE DAM","MO","L","Failure","01/01/2008","Structural Stability","Sliding","","","MO30695-166","test","","No","","","","","","","","","Small rotational slide on downstream face. Width of slide approximately 30	 feet. Vertical displacement approximately 4 feet. REPORTED MAY 21, 2008","S","RE","R","N","36 ft","117 ac-ft","8 acres","1968","MO30695","TR-CLEAR CREEK","37.8231","-90.8224","0","DAM AND RESERVOIR SAFETY PROG","","","","",""
"ADOBE CREEK","CO","H","Non-failure","03/22/2016","Seepage/internal Erosion","Spillway Pipe Failure","Sinkhole","","CO00515-3015","New active seepage along an outlet conduit, creating voids where none were before.","","Yes","","","","","","","","","EAP level 1 activation, owner contracted with their engineer and a contractor to make emergency reverse filter repairs.","P","RE","IR","Y","41 ft","85000 ac-ft","4105 acres","1904","CO00515","ADOBE CREEK-OS","38.235","-103.281","0","DWR","","","","CO DWR",""
"Afton Drive/Chappell Creek Dam","VA","U","Failure","08/19/2021","Deterioration Or Poor Condition","Erosion","Overtopping","","VA149027-3496","","","","0","","","","","","","","","P","RE","F","N","7 ft","103 ac-ft","9 acres","0","VA149027","Chappell Creek","37.2835","-77.2109","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","",""
"AJAX-HECTOR MINE POND","MN","","Failure","04/24/2018","Hydrologic/flooding","Animal Activity","Debris Clogging","Overtopping","MN00000-3262","Tributary stream meandered into abandoned mine pit during spring snowmelt causing partially filled mine pit to completely fill and overtop natural earth embankment.  Embankment failed, draining pit into the Embarass River and causing damage to utilities and water quality issues on Embarass Lake.","","No","0","0","0","0","Other","$100,000 to $500,000","Property was abandoned by mining company decades ago and is now owned by state (IRRRB).  Rebuild of trail over $1,000,000.","100 ac-ft","The ""dam"" is a 250 foot section of natural ground between an excavation related to the mine pit and an excavation related to the diversion channel of the Embarrass River. Damage to Utility (power, telephone, water supply and sewer) lines severed.  Tailings and raw sewage from severed sewer line entered lake downstream of embankment failure.  Paved trail washed out.","S","OT","O","NR","55 ft","150 ac-ft","9 acres","1945","MN00000","OS TRIBUTARY TO THE EMBARRASS RIVER DIVERSION","47.541","-92.3108","0","MNDNR","","1 day","Unknown","MNDNR",""
"ALAMO ARROYO WS SCS SITE 2 DAM","TX","H","Non-failure","01/01/1970","Seepage/internal Erosion","Piping","","","TX01949-2824","PIPING","","","","","","","","","","","","L","RE","CI","N","48 ft","6144 ac-ft","30 acres","1960","TX01949","ALAMO ARROYO","31.4051","-105.818","0","N","","","","TX DEQ",""
"ALAMO ARROYO WS SCS SITE 2 DAM","TX","H","Non-failure","01/01/1960","Seepage/internal Erosion","Piping","","","TX01949-2834","PIPING","","","","","","","","","","","","L","RE","CI","N","48 ft","6144 ac-ft","30 acres","1960","TX01949","ALAMO ARROYO","31.4051","-105.818","0","N","","","","TX DEQ",""
"ALBERTA PARK","CO","H","Non-failure","07/18/2017","Manmade Action","Other","","","CO00762-3171","While drilling in the embankment with hollow stem augers an apparent connection was made with a pervious seam and elevated pressures associated with the drilling process caused a surge of muddy seepage and an increase in volume of seepage from a know exit point.","","Yes","","","","","","","Drill was stopped, the hole was grouted and the situation returned to ""normal"". Reservoir was lowered and an emergency seepage collection system and stability butress were constructed.","","developed a plan to install a filter and butress","S","RE","FR","Y","32 ft","812 ac-ft","39 acres","1953","CO00762","PASS CREEK-TR","37.4703","-106.766","0","DWR","","2 days","Yes","CO DWR",""
"ALBRITTON LAKE DAM","MS","S","Non-failure","01/21/2015","Deterioration Or Poor Condition","Spillway Pipe Failure","","","MS03326-2601","FAILURE OF THE PRIMARY SPILLWAY (CMP) THAT WAS PREVIOUSLY FILLED WITH CONCRETE","","No","0","1","0","0","","","","","INCIDENT WAS SUCCESSFULLY HANDLED. A 20. FT WIDE CUT WAS MADE TO ACT AS THE PRIMARY SPILLWAY. HOA WAS ADVISED TO KEEP THE LAKE LEVEL LOWER UNTIL REPAIRS ARE MADE OR THE DAM IS BREACHED","P","RE","R","NR","33 ft","1369 ac-ft","80 acres","1995","MS03326","TR. MILL CREEK","30.9806","-89.6881","0","MS Dept. of Environmental Quality","","","","",""
